close,high,low,open,time,volume,symbol,strike_price,option_type
435.0,435.0,435.0,435.0,2025-05-23 23:30:00,30,P-BTC-105200-260525,105200,put
435.0,435.0,435.0,435.0,2025-05-23 23:35:00,0,P-BTC-105200-260525,105200,put
450.0,450.0,450.0,450.0,2025-05-23 23:40:00,60,P-BTC-105200-260525,105200,put
305.0,305.0,305.0,305.0,2025-05-23 22:10:00,1,P-BTC-105600-260525,105600,put
280.0,280.0,280.0,280.0,2025-05-23 22:15:00,10,P-BTC-105600-260525,105600,put
287.0,287.0,287.0,287.0,2025-05-23 22:20:00,25,P-BTC-105600-260525,105600,put
1750.5,1750.5,1750.5,1750.5,2025-05-24 04:35:00,1,P-BTC-109600-260525,109600,put
2002.0,2002.0,2002.0,2002.0,2025-05-24 04:35:00,1,P-BTC-110000-260525,110000,put
3202.0,3202.0,3202.0,3202.0,2025-05-23 22:15:00,10,P-BTC-111600-260525,111600,put
