close,high,low,open,time,volume,symbol
110886.5,110897.5,110862.0,110890.5,2025-05-23 09:00:00,364,BTCUSDT
110914.0,111050.5,110910.0,110910.0,2025-05-23 09:05:00,1029,BTCUSDT
110976.0,111002.5,110915.5,110930.0,2025-05-23 09:10:00,335,BTCUSDT
111160.5,111166.5,110991.0,110991.0,2025-05-23 09:15:00,200,BTCUSDT
111084.0,111204.5,111060.5,111165.5,2025-05-23 09:20:00,311,BTCUSDT
111052.0,111163.0,111052.0,111084.5,2025-05-23 09:25:00,246,BTCUSDT
111150.0,111200.5,111082.5,111108.0,2025-05-23 09:30:00,231,BTCUSDT
111183.0,111183.0,111125.5,111150.0,2025-05-23 09:35:00,141,BTCUSDT
111122.0,111183.0,111122.0,111183.0,2025-05-23 09:40:00,158,BTCUSDT
111278.5,111300.5,111124.0,111128.5,2025-05-23 09:45:00,417,BTCUSDT
111291.0,111347.0,111264.0,111264.0,2025-05-23 09:50:00,1558,BTCUSDT
111283.5,111291.0,111283.5,111291.0,2025-05-23 09:55:00,130,BTCUSDT
111187.0,111294.5,111187.0,111282.5,2025-05-23 10:00:00,186,BTCUSDT
111088.0,111181.5,111088.0,111181.5,2025-05-23 10:05:00,117,BTCUSDT
110896.5,111088.0,110847.5,111088.0,2025-05-23 10:10:00,323,BTCUSDT
110950.0,110960.0,110778.0,110875.5,2025-05-23 10:15:00,1657,BTCUSDT
110950.0,111050.0,110949.5,110950.0,2025-05-23 10:20:00,129,BTCUSDT
110907.0,110959.0,110880.5,110950.0,2025-05-23 10:25:00,86,BTCUSDT
110999.5,111007.5,110911.0,110974.5,2025-05-23 10:30:00,257,BTCUSDT
110904.5,111019.5,110846.5,110990.5,2025-05-23 10:35:00,123,BTCUSDT
111011.0,111011.0,110881.0,110904.5,2025-05-23 10:40:00,142,BTCUSDT
111033.5,111038.5,110932.0,111015.0,2025-05-23 10:45:00,81,BTCUSDT
111052.0,111151.0,111031.0,111031.0,2025-05-23 10:50:00,88,BTCUSDT
111013.0,111050.5,110983.5,111044.5,2025-05-23 10:55:00,95,BTCUSDT
111008.0,111058.5,110963.0,111012.5,2025-05-23 11:00:00,106,BTCUSDT
110854.0,111008.0,110854.0,111008.0,2025-05-23 11:05:00,57,BTCUSDT
110957.5,110957.5,110860.0,110864.5,2025-05-23 11:10:00,111,BTCUSDT
110800.0,111029.0,110800.0,110957.0,2025-05-23 11:15:00,149,BTCUSDT
110740.0,110800.0,110639.5,110760.0,2025-05-23 11:20:00,2383,BTCUSDT
110839.0,110839.0,110671.0,110756.0,2025-05-23 11:25:00,752,BTCUSDT
110760.0,110876.5,110718.5,110828.0,2025-05-23 11:30:00,4991,BTCUSDT
110805.5,110819.5,110679.0,110771.0,2025-05-23 11:35:00,2129,BTCUSDT
110300.0,110914.5,110152.0,110795.5,2025-05-23 11:40:00,9385,BTCUSDT
109730.0,110375.0,109644.5,110340.5,2025-05-23 11:45:00,12615,BTCUSDT
109499.5,109844.5,109227.0,109633.5,2025-05-23 11:50:00,11788,BTCUSDT
109039.0,109681.5,108826.0,109568.5,2025-05-23 11:55:00,14246,BTCUSDT
108587.5,108941.5,108500.0,108855.0,2025-05-23 12:00:00,3856,BTCUSDT
108685.5,108807.5,108369.0,108792.0,2025-05-23 12:05:00,3356,BTCUSDT
108085.0,108685.5,107915.0,108685.5,2025-05-23 12:10:00,4145,BTCUSDT
108147.5,108339.0,107298.5,108042.0,2025-05-23 12:15:00,4845,BTCUSDT
108034.5,108200.5,107760.0,108185.5,2025-05-23 12:20:00,1926,BTCUSDT
108376.5,108377.5,107823.5,107964.5,2025-05-23 12:25:00,2943,BTCUSDT
108593.5,108593.5,108182.5,108377.5,2025-05-23 12:30:00,1607,BTCUSDT
108636.5,108702.5,108449.0,108618.0,2025-05-23 12:35:00,1727,BTCUSDT
108554.0,108647.5,108455.0,108647.5,2025-05-23 12:40:00,773,BTCUSDT
108497.0,108713.5,108435.0,108540.0,2025-05-23 12:45:00,1068,BTCUSDT
108467.5,108647.0,108423.0,108481.0,2025-05-23 12:50:00,871,BTCUSDT
108392.0,108578.0,108350.5,108458.0,2025-05-23 12:55:00,1492,BTCUSDT
108009.5,108484.5,107926.5,108423.5,2025-05-23 13:00:00,2510,BTCUSDT
108206.0,108334.0,108090.0,108136.5,2025-05-23 13:05:00,1473,BTCUSDT
108398.0,108457.5,108200.0,108200.0,2025-05-23 13:10:00,920,BTCUSDT
108526.5,108608.0,108369.0,108384.0,2025-05-23 13:15:00,680,BTCUSDT
108799.5,108831.0,108420.5,108513.5,2025-05-23 13:20:00,637,BTCUSDT
108674.0,108743.0,108615.0,108743.0,2025-05-23 13:25:00,393,BTCUSDT
109448.0,109448.0,108618.0,108618.0,2025-05-23 13:30:00,2033,BTCUSDT
109166.0,109516.5,109166.0,109350.0,2025-05-23 13:35:00,1404,BTCUSDT
108990.0,109234.5,108910.0,109087.0,2025-05-23 13:40:00,1230,BTCUSDT
109163.0,109191.0,108816.0,109007.0,2025-05-23 13:45:00,696,BTCUSDT
109218.0,109389.0,109062.5,109200.0,2025-05-23 13:50:00,852,BTCUSDT
109601.0,109698.0,109227.0,109239.0,2025-05-23 13:55:00,1261,BTCUSDT
109957.0,109957.0,109608.5,109608.5,2025-05-23 14:00:00,948,BTCUSDT
109650.5,109947.5,109629.5,109947.5,2025-05-23 14:05:00,771,BTCUSDT
109872.5,109921.5,109601.0,109668.5,2025-05-23 14:10:00,706,BTCUSDT
109610.0,109905.5,109610.0,109837.0,2025-05-23 14:15:00,412,BTCUSDT
109794.5,109857.5,109509.0,109572.0,2025-05-23 14:20:00,460,BTCUSDT
109548.5,109816.5,109535.0,109780.0,2025-05-23 14:25:00,227,BTCUSDT
109709.0,109764.0,109487.5,109528.5,2025-05-23 14:30:00,742,BTCUSDT
109662.0,109759.5,109511.5,109721.5,2025-05-23 14:35:00,334,BTCUSDT
109659.5,109736.5,109466.0,109642.5,2025-05-23 14:40:00,220,BTCUSDT
109829.5,109900.0,109643.5,109643.5,2025-05-23 14:45:00,289,BTCUSDT
109834.0,109891.5,109723.0,109810.5,2025-05-23 14:50:00,186,BTCUSDT
109679.5,109860.0,109655.0,109814.0,2025-05-23 14:55:00,171,BTCUSDT
109534.0,109807.0,109534.0,109616.5,2025-05-23 15:00:00,310,BTCUSDT
