close,high,low,open,time,volume,symbol,strike_price,option_type
431.0,431.0,431.0,431.0,2025-05-25 18:25:00,1,P-BTC-104000-280525,104000,put
431.0,431.0,431.0,431.0,2025-05-25 18:30:00,0,P-BTC-104000-280525,104000,put
431.0,431.0,431.0,431.0,2025-05-25 18:35:00,0,P-BTC-104000-280525,104000,put
454.0,454.0,454.0,454.0,2025-05-25 18:40:00,25,P-BTC-104000-280525,104000,put
512.0,512.0,512.0,512.0,2025-05-25 20:10:00,10,P-BTC-104400-280525,104400,put
1443.1,1443.1,1443.1,1443.1,2025-05-25 22:00:00,923,P-BTC-107200-280525,107200,put
1224.0,1224.0,1224.0,1224.0,2025-05-26 04:55:00,1,P-BTC-109000-280525,109000,put
1436.0,1436.0,1436.0,1436.0,2025-05-26 04:55:00,1,P-BTC-109400-280525,109400,put
3433.0,3433.0,3433.0,3433.0,2025-05-25 20:10:00,10,P-BTC-110400-280525,110400,put
