close,high,low,open,time,volume,symbol,strike_price,option_type
445,445,445,445,2025-05-25 01:55:00,10,P-BTC-104800-270525,104800,put
381,381,381,381,2025-05-24 19:20:00,1,P-BTC-105600-270525,105600,put
381,381,381,381,2025-05-24 19:25:00,25,P-BTC-105600-270525,105600,put
1344,1344,1344,1344,2025-05-24 19:20:00,2,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:25:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:30:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:35:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:40:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:45:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:50:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 19:55:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:00:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:05:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:10:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:15:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:20:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:25:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:30:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:35:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:40:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:45:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:50:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 20:55:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:00:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:05:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:10:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:15:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:20:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:25:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:30:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:35:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:40:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:45:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:50:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 21:55:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:00:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:05:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:10:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:15:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:20:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:25:00,0,P-BTC-108800-270525,108800,put
1344,1344,1344,1344,2025-05-24 22:30:00,0,P-BTC-108800-270525,108800,put
1472,1472,1472,1472,2025-05-24 22:35:00,2,P-BTC-108800-270525,108800,put
