close,high,low,open,time,volume,symbol,strike_price,option_type
3648,3648,3648,3648,2025-05-25 20:10:00,10,C-BTC-104400-280525,104400,call
2600,2600,2600,2600,2025-05-26 08:20:00,33,C-BTC-108000-280525,108000,call
700,700,700,700,2025-05-25 20:10:00,10,C-BTC-110400-280525,110400,call
631,631,631,631,2025-05-25 18:35:00,10,C-BTC-110800-280525,110800,call
557,557,557,557,2025-05-25 18:35:00,23,C-BTC-111200-280525,111200,call
501,501,501,501,2025-05-25 18:25:00,1,C-BTC-111600-280525,111600,call
501,501,501,501,2025-05-25 18:30:00,0,C-BTC-111600-280525,111600,call
501,501,501,501,2025-05-25 18:35:00,0,C-BTC-111600-280525,111600,call
475,475,475,475,2025-05-25 18:40:00,25,C-BTC-111600-280525,111600,call
